index,SequenceA,SequenceB,SCI
0,AF254716.1_405-461,AF457085.1_8773-8829,0.95910780669145
1,AF443080.1_1454-1505,AY322185.1_1538-1589,1.0
2,AF361875.1_61-144,AF470709.1_65-148,0.950515463917526
3,AF024128.1_120-171,AJ535036.1_23-74,0.976699029126214
4,AF026213.1_13358-13277,M86496.1_1024-1089,1.0319829424307
5,AY118156.1_2-57,AF254682.1_418-474,1.0643153526971
6,AY165241.1_238-289,AF024048.1_165-216,1.02230483271375
7,AL591978.1_212840-212931,AE013002.1_8645-8535,0.967809239940388
8,Z00044.1_45478-45405,Z69899.1_2926-3021,0.78391959798995
9,M35569.1_4-116,X02629.1_3-115,0.941269841269841
10,AF239633.1_529-627,M26727.1_125-223,0.9695885509839
11,L11795.1_65-148,U86779.1_112-195,0.804469273743017
12,AB057606.1_1720-1756,AY232731.1_9350-9386,0.979209979209979
13,X13037.1_1-119,X04305.1_1-118,1.04651162790698
14,X63066.1_363-465,L26850.1_101-204,0.945652173913044
15,AL162755.2_146999-146906,AL591782.1_259929-260027,1.07661290322581
16,Z36079.1_181-110,L35909.1_103-174,1.18619246861925
17,X55263.1_3-119,M10434.1_1-119,1.17205542725173
18,AF036746.1_113-157,L23117.1_1024-1069,0.791304347826087
19,AF084702.1_64-148,AF460974.1_232-315,0.888571428571429
20,X54299.1_1793-1866,M16912.1_86-157,1.18315018315018
21,X53538.1_2090-2241,X03680.1_3159-3308,0.815839694656489
22,M16533.1_3-118,X00931.1_3-117,0.910878112712975
23,AJ414158.1_174343-174468,AP005038.1_133710-133554,0.526197183098592
24,U88824.1_1437-1488,AF024290.1_120-171,1.05781584582441
25,S43413.1_98-213,X15180.1_3-118,1.11414790996785
26,AF450097.1_143-259,AF110959.1_182-300,0.873198847262248
27,X60981.1_3261-3348,M74160.1_2030-2100,1.0015479876161
28,AY371121.1_59-142,AY125894.1_65-148,0.914893617021277
29,AF196730.1_477-533,M58211.1_113-169,1.0605504587156
30,AB067577.1_1615-1688,AF008220.1_6251-6324,1.14629948364888
31,AY282207.1_65-148,AY451227.1_148-231,0.980952380952381
32,X78859.1_2-194,AF506647.1_1-238,0.831683168316832
33,AE016770.1_161998-162188,BX248357.1_28572-28772,0.861563517915309
34,J04815.1_2041-2109,L07095.1_5086-5018,1.46992481203008
35,M84627.1_759-815,AF254709.1_392-448,1.0188679245283
36,AF377958.1_59-142,AY371146.1_59-142,0.930787589498807
37,AF311939.1_395-646,AF499643.1_390-640,0.992537313432836
38,AY519026.1_46-97,AB074051.1_1350-1401,1.02676864244742
39,X54552.1_167-241,M22656.1_459-528,1.39449541284404
40,AF071474.1_1287-1338,AJ437033.1_1299-1350,1.06720977596741
41,D10743.1_4-73,M16450.1_308-380,1.03755868544601
42,M16174.1_3-119,X05233.1_1-119,1.07053941908714
43,AJ277126.1_2879-2953,X86563.2_124917-124799,0.765582655826558
44,U80517.1_412-510,AF096640.1_517-615,0.998233215547703
45,D86531.1_848-913,AB057612.1_1528-1593,1.00333333333333
46,AY090761.1_678-729,U26546.1_1464-1515,1.00404858299595
47,AE009228.1_1838-1621,BX572599.1_259196-259407,0.6849234393404
48,AY118154.1_401-484,AF418368.1_65-148,0.826923076923077
49,AE016800.1_67341-67243,AP003584.1_118642-118546,0.792
50,Z35330.1_6121-6235,M34769.1_10-105,0.771065182829889
51,X04160.1_116-188,X12631.1_1426-1497,1.37241379310345
52,L12402.1_3-117,X55255.1_4-120,0.887909319899244
53,AL939108.1_255442-255325,BX572605.1_160670-160756,0.812380952380952
54,AF418408.1_65-148,AF084725.1_65-148,0.967567567567568
55,X01016.1_450-523,X15246.1_271-344,1.15618661257606
56,AC008443.10_8240-8321,AE004237.1_2976-2903,1.06766917293233
57,AJ550903.1_281-333,AJ005312.1_56-3,1.09562841530055
58,X60484.1_640-665,X14215.1_817-842,1.0
59,AF217296.1_1-256,AF506655.1_1-238,0.797213622291022
60,AP005336.1_138128-137994,AE006044.1_6045-6135,0.785588752196837
61,AL445063.1_194119-194402,AB073218.1_1-299,1.055934107076
62,M16532.1_2-117,X06099.1_1-107,1.11927877947295
63,X04415.1_9134-9188,AY037281.1_8742-8798,0.974452554744526
64,AC008670.6_83597-83665,X69067.1_6022-6086,1.502
65,U68510.1_65-148,U56893.1_65-148,0.854285714285714
66,AE007380.1_3446-3534,AE016792.1_163969-163863,0.858649789029536
67,AE017241.1_124587-124696,AP005074.1_11634-11770,0.716867469879518
68,BX649448.10_102668-102722,AL807818.14_154315-154373,0.739336492890995
69,AE012997.1_6989-7110,BX248358.1_90582-90421,0.832851239669421
70,AY371142.1_59-142,U29259.1_65-148,0.856864654333009
71,X60705.1_112-265,X80346.1_67-220,0.904580152671756
72,X02172.1_74-145,X99772.1_5062-5131,1.34096692111959
73,AF493541.1_7070-7138,AJ400848.1_34280-34188,1.03595505617978
74,AF024112.1_120-171,AF024163.1_90-141,1.02757352941176
75,AF349363.1_33-84,L11756.1_1299-1350,1.02218114602588
76,AF036755.1_118-162,AF036745.1_119-163,0.731343283582089
77,M35060.1_1-72,X99772.1_7842-7915,1.29333333333333
78,AJ271445.1_9530-9586,AF286232.1_8888-8944,1.07312614259598
79,AE006305.1_11176-11252,AJ237851.1_3373-3277,1.01386748844376
80,X51379.1_254-444,M72891.1_1-196,0.944852411807056
81,AF076475.1_1423-1474,AY371144.1_1284-1335,1.05352798053528
82,M68929.1_151018-150946,X02444.1_95-15,1.00816326530612
83,U67517.1_7202-7276,L07095.1_4950-5016,1.21531531531532
84,X12631.1_10184-10115,AF164586.1_93-158,1.24575645756458
85,AE004877.1_3967-4112,AE012529.1_9465-9584,0.894468085106383
86,AF442570.1_8877-8933,AY118156.1_2-57,0.96195652173913
87,U72140.1_317-373,AJ271445.1_453-509,1.08610567514677
88,AF110972.1_244-327,AF457051.1_59-142,0.977157360406091
