index	e	o	t	k	T	S
1	0.05	1	0.4	0.3	10	50
2	0.05	1	0.4	1	10	1
3	0.05	1	0.4	0.2	5	5
4	0.05	1	0.4	0.6	1	5
5	0.05	1	0.4	0.6	10	50
6	0.05	1	0.4	0.9	1	10
7	0.05	1	0.4	0.7	1	1
8	0.05	1	0.4	0.9	5	10
9	0.05	1	0.4	0.3	10	1
10	0.05	1	0.4	0.9	5	50
11	0.05	1	0.4	0.8	5	10
12	0.05	1	0.4	0.6	5	5
13	0.05	1	0.4	0.6	5	10
14	0.05	1	0.4	0.6	1	50
15	0.05	1	0.4	0.5	5	1
16	0.05	1	0.4	0.4	5	50
17	0.05	1	0.4	0.7	1	5
18	0.05	1	0.4	0.2	10	1
19	0.05	1	0.4	0.1	1	1
20	0.05	1	0.4	1	1	50
21	0.05	1	0.4	0.3	5	50
22	0.05	1	0.4	0.5	1	1
23	0.05	1	0.4	0.2	1	50
24	0.05	1	0.4	0.2	5	1
25	0.05	1	0.4	0.5	1	10
26	0.05	1	0.4	1	1	1
27	0.05	1	0.4	0.4	10	5
28	0.05	1	0.4	0.4	10	10
29	0.05	1	0.4	1	5	5
30	0.05	1	0.4	0.7	10	5
31	0.05	1	0.4	0.1	5	50
32	0.05	1	0.4	0.7	5	1
33	0.05	1	0.4	0.1	1	50
34	0.05	1	0.4	0.4	1	5
35	0.05	1	0.4	0.9	10	1
36	0.05	1	0.4	0.7	1	50
37	0.05	1	0.4	1	10	10
38	0.05	1	0.4	0.1	10	10
39	0.05	1	0.4	0.6	10	5
40	0.05	1	0.4	0.7	10	50
41	0.05	1	0.4	0.3	10	10
42	0.05	1	0.4	0.8	1	5
43	0.05	1	0.4	0.1	5	10
44	0.05	1	0.4	0.5	5	5
45	0.05	1	0.4	0.1	10	1
46	0.05	1	0.4	0.7	10	10
47	0.05	1	0.4	1	10	5
48	0.05	1	0.4	0.2	10	50
49	0.05	1	0.4	0.8	10	10
50	0.05	1	0.4	0.9	10	50
51	0.05	1	0.4	0.1	5	5
52	0.05	1	0.4	0.8	10	5
53	0.05	1	0.4	0.3	1	50
54	0.05	1	0.4	0.9	10	10
55	0.05	1	0.4	0.6	5	1
56	0.05	1	0.4	0.7	10	1
57	0.05	1	0.4	0.4	5	5
58	0.05	1	0.4	0.7	5	10
59	0.05	1	0.4	0.2	5	10
60	0.05	1	0.4	0.6	1	10
61	0.05	1	0.4	0.1	5	1
62	0.05	1	0.4	0.3	5	5
63	0.05	1	0.4	1	10	50
64	0.05	1	0.4	1	5	1
65	0.05	1	0.4	0.5	10	5
66	0.05	1	0.4	0.3	5	10
67	0.05	1	0.4	0.8	10	50
68	0.05	1	0.4	0.3	10	5
69	0.05	1	0.4	0.1	1	10
70	0.05	1	0.4	0.6	10	10
71	0.05	1	0.4	0.2	1	10
72	0.05	1	0.4	0.2	1	5
73	0.05	1	0.4	0.4	1	1
74	0.05	1	0.4	0.9	1	5
75	0.05	1	0.4	1	5	10
76	0.05	1	0.4	0.9	5	1
77	0.05	1	0.4	0.3	1	5
78	0.05	1	0.4	0.1	1	5
79	0.05	1	0.4	0.8	5	5
80	0.05	1	0.4	0.6	10	1
81	0.05	1	0.4	0.2	1	1
82	0.05	1	0.4	0.4	1	10
83	0.05	1	0.4	0.8	1	50
84	0.05	1	0.4	0.9	5	5
85	0.05	1	0.4	0.5	1	50
86	0.05	1	0.4	0.2	10	5
87	0.05	1	0.4	0.8	5	1
88	0.05	1	0.4	0.8	5	50
89	0.05	1	0.4	1	1	5
90	0.05	1	0.4	0.4	1	50
91	0.05	1	0.4	0.5	5	50
92	0.05	1	0.4	0.9	1	50
93	0.05	1	0.4	0.2	10	10
94	0.05	1	0.4	0.2	5	50
95	0.05	1	0.4	0.7	5	5
96	0.05	1	0.4	0.6	1	1
97	0.05	1	0.4	0.5	1	5
98	0.05	1	0.4	0.6	5	50
99	0.05	1	0.4	0.9	10	5
100	0.05	1	0.4	0.7	1	10
101	0.05	1	0.4	0.5	10	10
102	0.05	1	0.4	0.8	1	1
103	0.05	1	0.4	0.4	10	50
104	0.05	1	0.4	0.5	10	50
105	0.05	1	0.4	0.5	5	10
106	0.05	1	0.4	0.9	1	1
107	0.05	1	0.4	0.8	1	10
108	0.05	1	0.4	0.3	1	10
109	0.05	1	0.4	1	1	10
110	0.05	1	0.4	0.1	10	5
111	0.05	1	0.4	0.4	10	1
112	0.05	1	0.4	0.8	10	1
113	0.05	1	0.6	0.4	10	50
114	0.05	1	0.6	0.7	1	10
115	0.05	1	0.4	1	5	50
116	0.05	1	0.4	0.1	10	50
117	0.05	1	0.6	0.4	10	5
118	0.05	1	0.4	0.3	5	1
119	0.05	1	0.6	0.2	10	1
120	0.05	1	0.6	1	5	10
121	0.05	1	0.6	0.2	5	1
122	0.05	1	0.6	0.8	1	5
123	0.05	1	0.6	1	10	10
124	0.05	1	0.4	0.5	10	1
125	0.05	1	0.4	0.3	1	1
126	0.05	1	0.6	0.5	1	10
127	0.05	1	0.6	0.6	10	50
128	0.05	1	0.6	0.5	1	5
129	0.05	1	0.6	0.6	5	10
130	0.05	1	0.6	0.3	10	1
131	0.05	1	0.4	0.4	5	10
132	0.05	1	0.4	0.4	5	1
133	0.05	1	0.6	0.2	10	5
134	0.05	1	0.6	0.6	10	5
135	0.05	1	0.6	0.5	1	50
136	0.05	1	0.6	0.6	10	10
137	0.05	1	0.6	0.9	5	1
138	0.05	1	0.6	0.3	5	5
139	0.05	1	0.6	0.9	5	50
140	0.05	1	0.6	0.5	10	1
141	0.05	1	0.6	0.3	1	1
142	0.05	1	0.6	0.8	1	50
143	0.05	1	0.6	1	5	1
144	0.05	1	0.6	1	5	50
145	0.05	1	0.6	0.1	5	1
146	0.05	1	0.6	0.2	1	1
147	0.05	1	0.6	0.2	5	50
148	0.05	1	0.6	0.3	5	10
149	0.05	1	0.6	0.8	1	1
150	0.05	1	0.6	0.9	10	1
151	0.05	1	0.6	0.8	5	50
152	0.05	1	0.6	0.4	5	5
153	0.05	1	0.6	0.9	1	5
154	0.05	1	0.6	0.4	5	10
155	0.05	1	0.6	0.9	10	5
156	0.05	1	0.6	0.5	5	5
157	0.05	1	0.6	0.5	10	5
158	0.05	1	0.6	0.4	1	50
159	0.05	1	0.6	0.1	5	10
160	0.05	1	0.6	0.5	5	10
161	0.05	1	0.6	1	10	5
162	0.05	1	0.6	0.9	1	50
163	0.05	1	0.6	0.5	10	50
164	0.05	1	0.6	0.1	5	50
165	0.05	1	0.6	0.4	5	1
166	0.05	1	0.6	0.9	1	10
167	0.05	1	0.6	0.3	1	5
168	0.05	1	0.6	0.8	5	5
169	0.05	1	0.6	0.8	10	10
170	0.05	1	0.5	0.2	10	50
171	0.05	1	0.6	0.9	1	1
172	0.05	1	0.5	0.3	10	1
173	0.05	1	0.6	0.6	10	1
174	0.05	1	0.6	0.4	1	5
175	0.05	1	0.4	0.7	5	50
176	0.05	1	0.6	0.7	1	1
177	0.05	1	0.5	0.9	1	5
178	0.05	1	0.5	1	1	10
179	0.05	1	0.5	0.9	10	10
180	0.05	1	0.5	0.4	1	50
181	0.05	1	0.5	0.7	5	50
182	0.05	1	0.6	1	5	5
183	0.05	1	0.6	0.5	1	1
184	0.05	1	0.6	0.1	1	10
185	0.05	1	0.6	0.7	5	50
186	0.05	1	0.5	0.8	1	1
187	0.05	1	0.6	1	1	10
188	0.05	1	0.6	0.7	10	1
189	0.05	1	0.6	0.5	10	10
190	0.05	1	0.6	0.6	5	50
191	0.05	1	0.6	0.1	5	5
192	0.05	1	0.5	1	5	10
