index	SequenceA	SequenceB
1	M35570.1_5-120	X12624.1_61-178
2	M19950.1_1-120	X52300.1_5-122
3	X54477.1_2-120	X02731.1_3-119
4	U67518.1_78-192	X03567.1_108-226
5	Z50736.1_3-119	M36307.1_1-119
6	D00058.1_1-118	M16176.1_4-120
7	M58387.1_5-112	Z50062.1_3-119
8	K02688.1_1-115	V01120.1_2-120
9	X00692.1_1-119	M30199.1_68-167
10	D10534.1_1-121	X06098.1_1-107
11	M10358.1_2-120	M33891.1_4-123
12	Z11818.1_3-116	K03168.1_1-118
13	Z50056.1_3-119	X00689.1_1-119
14	X05870.1_304-418	M35170.1_2-108
15	K02354.1_1-118	L37451.1_4-118
16	M35567.1_3-116	X05541.1_1-121
17	X02237.1_3-118	X00575.1_1-121
18	K02362.1_1-121	M16171.1_3-119
19	M36152.1_2-117	X06849.1_1-119
20	K01050.1_1-121	Z50075.1_3-119
21	AF237335.1_140-258	X02630.1_3-115
22	J01012.1_1-119	M34765.1_1-114
23	X05052.1_3-119	X52049.1_2-120
24	X08003.1_3-119	X00866.1_1-119
25	X05532.1_1-118	M35164.1_2-109
26	X01543.1_1-118	M16177.1_4-120
27	X57691.1_1-116	L12403.1_3-117
28	AE000007.2_3022-3129	M21086.1_8-123
29	AJ131600.1_3-115	X00378.1_2-120
30	D00061.1_1-120	X13007.1_1-116
31	M35169.1_2-109	K03160.1_1-118
32	X07545.1_505-619	X05534.1_1-118
33	X06839.1_3-124	D90253.1_251-366
34	M24954.1_1-119	AJ131601.1_3-115
35	M36316.1_2-120	L37447.1_4-116
36	M11538.1_4-116	X01618.1_1-119
37	AL139074.2_44743-44859	X52050.1_1-119
38	M36315.1_3-121	X55261.1_3-119
39	D10529.1_1-121	X02729.1_3021-3135
40	Z11823.1_1-116	X67494.1_1-118
41	X02707.1_2-120	X06577.1_4-117
42	X06836.1_1-119	X02260.1_3-117
43	M32450.1_1-119	M11545.1_4-118
44	K02343.1_1-119	M33892.1_2-110
45	X00073.1_1-117	Z11816.1_1-116
46	X59479.1_518-634	X06995.1_1-119
47	X00757.1_2-119	X00190.1_1-118
48	D90255.1_422-538	M25202.1_1-119
49	M36306.1_1-119	X02028.1_1-117
50	D13619.1_3-119	M36312.1_2-120
51	X52047.1_2-120	AF454951.1_1084-1198
52	X55255.1_4-120	M36309.1_1-120
53	M34768.1_3-117	D10532.1_1-120
54	X03905.1_4-117	M34003.1_489-607
55	M35394.1_1-119	AE000559.1_152-269
56	M76576.1_4-118	M58385.1_5-116
57	X03904.1_2-116	D10530.1_1-120
58	K02687.1_1-115	M16530.1_8-123
59	M35568.1_2-115	X01000.1_1-121
60	U05019.1_544-658	M10433.1_1-119
61	AF088897.1_10366-10481	D16558.1_6715-6832
62	D00063.1_1-121	M36156.1_2-116
63	L12404.1_3-117	D00059.1_1-118
64	AJ131593.1_3-115	AF101250.1_1-119
65	M28975.1_65-183	M36159.1_2-116
66	M10364.1_2-118	M34911.1_4-118
67	M35571.1_1-119	M33886.1_1-116
68	X62858.1_1-121	M35167.1_2-111
69	X02629.1_3-115	X01544.1_1-118
70	X00687.1_1-119	M36188.1_5-125
71	X15199.1_158-276	AJ131592.1_3-116
72	L24488.1_3-117	X00867.1_1-119
73	D00062.1_1-121	K03155.1_22-137
74	X02246.1_3-118	M35576.1_1-118
75	L12402.1_3-117	X01004.1_1-119
76	X06104.1_1-119	X02024.1_3-117
77	M25201.1_1-119	M33894.1_2-109
78	Z50059.1_3-119	Z49275.1_645-762
79	X65710.1_35-152	AF001265.1_6033-6149
80	X00691.1_1-119	K01389.1_140-255
81	K02345.1_1-118	X02239.1_3-118
82	M36308.1_1-119	X55265.1_3-119
83	M76577.1_4-118	X12622.1_1-118
84	M16172.1_3-119	M36310.1_2-120
85	Z50060.1_3-119	X00994.1_1-119
86	X55264.1_4-122	X03911.1_1-119
87	X16194.1_2-114	X62859.1_3-124
88	X00574.1_1-118	X02023.1_1-116
89	Z50066.1_3-119	D10533.1_1-120
90	X06996.1_1-118	Z50065.1_3-120
91	D10528.1_1-121	Z50061.1_3-119
